N_VICTIMAS,HH,COMUNA,EDAD,TIPO_DE_CALLE_AVENIDA,TIPO_DE_CALLE_CALLE,TIPO_DE_CALLE_GRAL PAZ,ACUSADO_AUTO,ACUSADO_BICICLETA,ACUSADO_CARGAS,ACUSADO_MOTO,ACUSADO_MULTIPLE,ACUSADO_OBJETO FIJO,ACUSADO_OTRO,ACUSADO_PASAJEROS,ACUSADO_TREN,SEXO_FEMENINO,SEXO_MASCULINO
1,12,1,29,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,19,4,35,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1,2,3,30,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1,0,14,41,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,5,8,25,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1,5,14,29,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0,11,30,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1,20,13,33,1,0,0,0,0,1,0,0,0,0,0,0,1,0
1,23,14,35,1,0,0,0,0,0,1,0,0,0,0,0,1,0
1,2,13,20,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1,23,1,46,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1,4,8,35,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,12,4,83,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1,20,13,39,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,20,4,29,1,0,0,0,0,0,0,0,0,0,1,0,1,0
1,21,1,55,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1,22,15,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1,18,4,41,1,0,0,0,0,1,0,0,0,0,0,0,0,1
1,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,21,7,42,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,15,15,83,1,0,0,0,0,0,1,0,0,0,0,0,1,0
1,14,8,38,0,0,1,0,0,0,1,0,0,0,0,0,0,1
1,16,10,29,0,1,0,1,0,0,0,0,0,0,0,0,1,0
1,19,3,23,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1,6,11,23,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1,7,8,23,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,5,9,29,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,7,14,50,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1,5,15,38,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,7,11,23,0,0,1,1,0,0,0,0,0,0,0,0,0,1
1,6,4,29,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,8,4,37,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1,10,4,43,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,15,12,24,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1,17,12,21,0,0,1,1,0,0,0,0,0,0,0,0,0,1
1,19,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,8,5,38,1,0,0,0,0,1,0,0,0,0,0,0,0,1
1,19,7,35,1,0,0,0,0,1,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,7,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
1,1,1,28,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1,4,14,27,0,1,0,1,0,0,0,0,0,0,0,0,1,0
1,16,3,7,0,1,0,0,0,0,0,1,0,0,0,0,1,0
1,1,11,18,1,0,0,0,0,1,0,0,0,0,0,0,0,1
1,3,4,33,1,0,0,0,0,1,0,0,0,0,0,0,0,1
1,17,1,48,0,1,0,0,0,0,0,1,0,0,0,0,0,1
1,0,14,29,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1,13,5,36,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,16,6,23,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,2,12,29,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,14,4,30,0,1,0,0,0,1,0,0,0,0,0,0,0,1
1,7,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,1
1,8,12,22,1,0,0,0,0,0,0,1,0,0,0,0,1,0
1,15,2,82,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,5,1,27,0,0,0,0,0,1,0,0,0,0,0,0,0,1
